1772504438892 | ENTRY | spotID=-1
1772565892564 | ENTRY | spotID=-1
1772565895183 | SPOT_OCCUPIED | spotID=7
1772565895773 | ENTRY | spotID=-1
1772565898397 | SPOT_OCCUPIED | spotID=8
1772565898902 | ENTRY | spotID=-1
1772565901528 | SPOT_OCCUPIED | spotID=9
1772565903977 | ENTRY | spotID=-1
1772565906601 | SPOT_OCCUPIED | spotID=10
1772565907720 | ENTRY | spotID=-1
1772565910344 | SPOT_OCCUPIED | spotID=11
1772565911434 | ENTRY | spotID=-1
1772565914064 | SPOT_OCCUPIED | spotID=12
1772565915223 | ENTRY | spotID=-1
1772565917864 | SPOT_OCCUPIED | spotID=13
1772565919386 | ENTRY | spotID=-1
1772565921997 | SPOT_OCCUPIED | spotID=14
1772565927471 | ENTRY | spotID=-1
1772565930106 | SPOT_OCCUPIED | spotID=15
1772565930954 | ENTRY | spotID=-1
1772565933579 | SPOT_OCCUPIED | spotID=16
1772565934089 | ENTRY | spotID=-1
1772565936722 | SPOT_OCCUPIED | spotID=17
1772565937335 | ENTRY | spotID=-1
1772565939959 | SPOT_OCCUPIED | spotID=18
1772565940435 | ENTRY | spotID=-1
1772565943066 | SPOT_OCCUPIED | spotID=19
1772565943657 | ENTRY | spotID=-1
1772565946292 | SPOT_OCCUPIED | spotID=20
1772565948259 | ENTRY | spotID=-1
1772565950882 | SPOT_OCCUPIED | spotID=21
1772565952023 | ENTRY | spotID=-1
1772565954649 | SPOT_OCCUPIED | spotID=22
1772565955195 | ENTRY | spotID=-1
1772565957826 | SPOT_OCCUPIED | spotID=23
1772565966197 | SPOT_EMPTY | spotID=0
1772567702325 | ENTRY | spotID=-1
1772567704469 | SPOT_OCCUPIED | spotID=0
1772567705589 | ENTRY | spotID=-1
1772567707718 | SPOT_OCCUPIED | spotID=1
1772567710354 | SPOT_EMPTY | spotID=0
1772567727427 | ENTRY | spotID=-1
1772567729553 | SPOT_OCCUPIED | spotID=0
1772567732048 | SPOT_EMPTY | spotID=0
1772567907694 | ENTRY | spotID=-1
1772567909835 | SPOT_OCCUPIED | spotID=0
1772567911099 | EXIT | spotID=-1
1772567912623 | SPOT_EMPTY | spotID=0
1772567914924 | ENTRY | spotID=-1
1772567917050 | SPOT_OCCUPIED | spotID=0
1772567921950 | EXIT | spotID=-1
1772567923453 | SPOT_EMPTY | spotID=0
1772567925741 | ENTRY | spotID=-1
1772567927854 | SPOT_OCCUPIED | spotID=0
1772567929114 | EXIT | spotID=-1
1772567930633 | SPOT_EMPTY | spotID=0
1772567932000 | ENTRY | spotID=-1
1772567934117 | SPOT_OCCUPIED | spotID=0
1772567935332 | EXIT | spotID=-1
1772567936836 | SPOT_EMPTY | spotID=0
1772568073260 | ENTRY | spotID=-1
1772568075399 | SPOT_OCCUPIED | spotID=0
1772568077130 | EXIT | spotID=-1
1772568078648 | SPOT_EMPTY | spotID=0
1772571268472 | ENTRY | spotID=-1
1772571270625 | SPOT_OCCUPIED | spotID=0
1772571272556 | EXIT | spotID=-1
1772571274091 | SPOT_EMPTY | spotID=0
1772571280155 | ENTRY | spotID=-1
1772571282274 | SPOT_OCCUPIED | spotID=0
1772571381322 | ENTRY | spotID=-1
1772571383473 | SPOT_OCCUPIED | spotID=0
1772571387219 | ENTRY | spotID=-1
1772571389356 | SPOT_OCCUPIED | spotID=1
1772571390454 | EXIT | spotID=-1
1772571391989 | SPOT_EMPTY | spotID=0
1772571417354 | ENTRY | spotID=-1
1772571419506 | SPOT_OCCUPIED | spotID=0
1772571595851 | ENTRY | spotID=-1
1772571598003 | SPOT_OCCUPIED | spotID=0
1772571598933 | ENTRY | spotID=-1
1772571601070 | SPOT_OCCUPIED | spotID=1
1772571603735 | EXIT | spotID=-1
1772571605270 | SPOT_EMPTY | spotID=0
